baker,series,episode,technical,result,last_name,baker_age,baker_occupation,hometown,signature_bake,show_stopper
Peter,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Tom,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Yan,8,9,NA,NA,NA,NA,NA,NA,NA,NA
Kate,8,10,3,Runner-up,Lyon,29,Health and safety inspector,Merseyside,"Roman Spelt, Coconut Kala Chana and Flower Breads","White Chocolate, Yuzu and Lychee Entremet"
Steven,8,10,1,Runner-up,Carter-Bailey,34,Marketer,"Watford, Hertfordshire","Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",'Yin Yang' Entremet
Sophie,8,10,2,WINNER,Faldo,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey","Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",'Ode to the Honey Bee' Entremet
Chris,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Flo,8,10,NA,NA,NA,NA,NA,NA,NA,NA
James,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Julia,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Liam,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Peter,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Stacey,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Tom,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Yan,8,10,NA,NA,NA,NA,NA,NA,NA,NA
Antony,9,1,12,IN,NA,NA,NA,NA,NA,NA
Briony,9,1,2,IN,NA,NA,NA,NA,NA,NA
Dan,9,1,4,IN,NA,NA,NA,NA,NA,NA
Jon,9,1,5,IN,NA,NA,NA,NA,NA,NA
Karen,9,1,6,IN,NA,NA,NA,NA,NA,NA
Kim-Joy,9,1,10,IN,NA,NA,NA,NA,NA,NA
Luke,9,1,8,IN,NA,NA,NA,NA,NA,NA
Rahul,9,1,7,IN,NA,NA,NA,NA,NA,NA
Ruby,9,1,1,IN,NA,NA,NA,NA,NA,NA
Terry,9,1,9,IN,NA,NA,NA,NA,NA,NA
Imelda,9,1,11,OUT,NA,NA,NA,NA,NA,NA
Manon,9,1,3,STAR BAKER,NA,NA,NA,NA,NA,NA
Antony,9,2,9,IN,NA,NA,NA,NA,NA,NA
Briony,9,2,5,IN,NA,NA,NA,NA,NA,NA
Dan,9,2,3,IN,NA,NA,NA,NA,NA,NA
Jon,9,2,1,IN,NA,NA,NA,NA,NA,NA
Karen,9,2,11,IN,NA,NA,NA,NA,NA,NA
Kim-Joy,9,2,4,IN,NA,NA,NA,NA,NA,NA
Manon,9,2,6,IN,NA,NA,NA,NA,NA,NA
Ruby,9,2,10,IN,NA,NA,NA,NA,NA,NA
Terry,9,2,8,IN,NA,NA,NA,NA,NA,NA
Luke,9,2,7,OUT,NA,NA,NA,NA,NA,NA
Rahul,9,2,2,STAR BAKER,NA,NA,NA,NA,NA,NA
Imelda,9,2,NA,NA,NA,NA,NA,NA,NA,NA
Briony,9,3,9,IN,NA,NA,NA,NA,NA,NA
Dan,9,3,6,IN,NA,NA,NA,NA,NA,NA
Jon,9,3,2,IN,NA,NA,NA,NA,NA,NA
Karen,9,3,5,IN,NA,NA,NA,NA,NA,NA
Kim-Joy,9,3,10,IN,NA,NA,NA,NA,NA,NA
Manon,9,3,3,IN,NA,NA,NA,NA,NA,NA
Ruby,9,3,7,IN,NA,NA,NA,NA,NA,NA
Terry,9,3,1,IN,NA,NA,NA,NA,NA,NA
Antony,9,3,8,OUT,NA,NA,NA,NA,NA,NA
Rahul,9,3,4,STAR BAKER,NA,NA,NA,NA,NA,NA
Imelda,9,3,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,3,NA,NA,NA,NA,NA,NA,NA,NA
Terry,9,4,NA,[a],NA,NA,NA,NA,NA,NA
Briony,9,4,5,IN,NA,NA,NA,NA,NA,NA
Jon,9,4,3,IN,NA,NA,NA,NA,NA,NA
Karen,9,4,7,IN,NA,NA,NA,NA,NA,NA
Kim-Joy,9,4,6,IN,NA,NA,NA,NA,NA,NA
Manon,9,4,8,IN,NA,NA,NA,NA,NA,NA
Rahul,9,4,4,IN,NA,NA,NA,NA,NA,NA
Ruby,9,4,2,IN,NA,NA,NA,NA,NA,NA
Dan,9,4,1,STAR BAKER,NA,NA,NA,NA,NA,NA
Antony,9,4,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,4,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,4,NA,NA,NA,NA,NA,NA,NA,NA
Briony,9,5,6,IN,NA,NA,NA,NA,NA,NA
Dan,9,5,2,IN,NA,NA,NA,NA,NA,NA
Jon,9,5,7,IN,NA,NA,NA,NA,NA,NA
Manon,9,5,5,IN,NA,NA,NA,NA,NA,NA
Rahul,9,5,3,IN,NA,NA,NA,NA,NA,NA
Ruby,9,5,1,IN,NA,NA,NA,NA,NA,NA
Karen,9,5,9,OUT,NA,NA,NA,NA,NA,NA
Terry,9,5,8,OUT,NA,NA,NA,NA,NA,NA
Kim-Joy,9,5,4,STAR BAKER,NA,NA,NA,NA,NA,NA
Antony,9,5,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,5,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,5,NA,NA,NA,NA,NA,NA,NA,NA
Jon,9,6,2,IN,NA,NA,NA,NA,NA,NA
Kim-Joy,9,6,5,IN,NA,NA,NA,NA,NA,NA
Manon,9,6,4,IN,NA,NA,NA,NA,NA,NA
Rahul,9,6,3,IN,NA,NA,NA,NA,NA,NA
Ruby,9,6,7,IN,NA,NA,NA,NA,NA,NA
Dan,9,6,6,OUT,NA,NA,NA,NA,NA,NA
Briony,9,6,1,STAR BAKER,NA,NA,NA,NA,NA,NA
Antony,9,6,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,6,NA,NA,NA,NA,NA,NA,NA,NA
Karen,9,6,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,6,NA,NA,NA,NA,NA,NA,NA,NA
Terry,9,6,NA,NA,NA,NA,NA,NA,NA,NA
Briony,9,7,5,IN,NA,NA,NA,NA,NA,NA
Manon,9,7,2,IN,NA,NA,NA,NA,NA,NA
Rahul,9,7,1,IN,NA,NA,NA,NA,NA,NA
Ruby,9,7,3,IN,NA,NA,NA,NA,NA,NA
Jon,9,7,4,OUT,NA,NA,NA,NA,NA,NA
Kim-Joy,9,7,6,STAR BAKER,NA,NA,NA,NA,NA,NA
Antony,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Dan,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Karen,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Terry,9,7,NA,NA,NA,NA,NA,NA,NA,NA
Briony,9,8,1,IN,NA,NA,NA,NA,NA,NA
Kim-Joy,9,8,2,IN,NA,NA,NA,NA,NA,NA
Rahul,9,8,5,IN,NA,NA,NA,NA,NA,NA
Manon,9,8,4,OUT,NA,NA,NA,NA,NA,NA
Ruby,9,8,3,STAR BAKER,NA,NA,NA,NA,NA,NA
Antony,9,8,NA,NA,NA,NA,NA,NA,NA,NA
Dan,9,8,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,8,NA,NA,NA,NA,NA,NA,NA,NA
Jon,9,8,NA,NA,NA,NA,NA,NA,NA,NA
Karen,9,8,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,8,NA,NA,NA,NA,NA,NA,NA,NA
Terry,9,8,NA,NA,NA,NA,NA,NA,NA,NA
Kim-Joy,9,9,2,IN,NA,NA,NA,NA,NA,NA
Rahul,9,9,4,IN,NA,NA,NA,NA,NA,NA
Briony,9,9,3,OUT,NA,NA,NA,NA,NA,NA
Ruby,9,9,1,STAR BAKER,NA,NA,NA,NA,NA,NA
Antony,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Dan,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Jon,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Karen,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Manon,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Terry,9,9,NA,NA,NA,NA,NA,NA,NA,NA
Kim-Joy,9,10,1,Runner-up,NA,NA,NA,NA,NA,NA
Ruby,9,10,3,Runner-up,NA,NA,NA,NA,NA,NA
Rahul,9,10,2,WINNER,NA,NA,NA,NA,NA,NA
Antony,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Briony,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Dan,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Imelda,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Jon,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Karen,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Luke,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Manon,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Terry,9,10,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,1,5,IN,NA,NA,NA,NA,NA,NA
Amelia,10,1,4,IN,NA,NA,NA,NA,NA,NA
David,10,1,10,IN,NA,NA,NA,NA,NA,NA
Helena,10,1,12,IN,NA,NA,NA,NA,NA,NA
Henry,10,1,1,IN,NA,NA,NA,NA,NA,NA
Jamie,10,1,13,IN,NA,NA,NA,NA,NA,NA
Michael,10,1,11,IN,NA,NA,NA,NA,NA,NA
Phil,10,1,8,IN,NA,NA,NA,NA,NA,NA
Priya,10,1,7,IN,NA,NA,NA,NA,NA,NA
Rosie,10,1,2,IN,NA,NA,NA,NA,NA,NA
Steph,10,1,3,IN,NA,NA,NA,NA,NA,NA
Dan,10,1,9,OUT,NA,NA,NA,NA,NA,NA
Michelle,10,1,6,STAR BAKER,NA,NA,NA,NA,NA,NA
Amelia,10,2,9,IN,NA,NA,NA,NA,NA,NA
David,10,2,2,IN,NA,NA,NA,NA,NA,NA
Helena,10,2,12,IN,NA,NA,NA,NA,NA,NA
Henry,10,2,6,IN,NA,NA,NA,NA,NA,NA
Michael,10,2,4,IN,NA,NA,NA,NA,NA,NA
Michelle,10,2,8,IN,NA,NA,NA,NA,NA,NA
Phil,10,2,3,IN,NA,NA,NA,NA,NA,NA
Priya,10,2,7,IN,NA,NA,NA,NA,NA,NA
Rosie,10,2,5,IN,NA,NA,NA,NA,NA,NA
Steph,10,2,10,IN,NA,NA,NA,NA,NA,NA
Jamie,10,2,11,OUT,NA,NA,NA,NA,NA,NA
Alice,10,2,1,STAR BAKER,NA,NA,NA,NA,NA,NA
Dan,10,2,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,3,7,IN,NA,NA,NA,NA,NA,NA
David,10,3,2,IN,NA,NA,NA,NA,NA,NA
Helena,10,3,8,IN,NA,NA,NA,NA,NA,NA
Henry,10,3,1,IN,NA,NA,NA,NA,NA,NA
Michelle,10,3,5,IN,NA,NA,NA,NA,NA,NA
Phil,10,3,10,IN,NA,NA,NA,NA,NA,NA
Priya,10,3,4,IN,NA,NA,NA,NA,NA,NA
Rosie,10,3,9,IN,NA,NA,NA,NA,NA,NA
Steph,10,3,3,IN,NA,NA,NA,NA,NA,NA
Amelia,10,3,11,OUT,NA,NA,NA,NA,NA,NA
Michael,10,3,6,STAR BAKER,NA,NA,NA,NA,NA,NA
Dan,10,3,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,3,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,4,8,IN,NA,NA,NA,NA,NA,NA
David,10,4,2,IN,NA,NA,NA,NA,NA,NA
Helena,10,4,9,IN,NA,NA,NA,NA,NA,NA
Henry,10,4,3,IN,NA,NA,NA,NA,NA,NA
Michael,10,4,7,IN,NA,NA,NA,NA,NA,NA
Michelle,10,4,5,IN,NA,NA,NA,NA,NA,NA
Priya,10,4,10,IN,NA,NA,NA,NA,NA,NA
Rosie,10,4,4,IN,NA,NA,NA,NA,NA,NA
Phil,10,4,6,OUT,NA,NA,NA,NA,NA,NA
Steph,10,4,1,STAR BAKER,NA,NA,NA,NA,NA,NA
Amelia,10,4,NA,NA,NA,NA,NA,NA,NA,NA
Dan,10,4,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,4,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,5,6,IN,NA,NA,NA,NA,NA,NA
David,10,5,9,IN,NA,NA,NA,NA,NA,NA
Henry,10,5,3,IN,NA,NA,NA,NA,NA,NA
Michael,10,5,8,IN,NA,NA,NA,NA,NA,NA
Priya,10,5,2,IN,NA,NA,NA,NA,NA,NA
Rosie,10,5,5,IN,NA,NA,NA,NA,NA,NA
Helena,10,5,1,OUT,NA,NA,NA,NA,NA,NA
Michelle,10,5,7,OUT,NA,NA,NA,NA,NA,NA
Steph,10,5,4,STAR BAKER,NA,NA,NA,NA,NA,NA
Amelia,10,5,NA,NA,NA,NA,NA,NA,NA,NA
Dan,10,5,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,5,NA,NA,NA,NA,NA,NA,NA,NA
Phil,10,5,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,6,1,IN,NA,NA,NA,NA,NA,NA
David,10,6,2,IN,NA,NA,NA,NA,NA,NA
Henry,10,6,4,IN,NA,NA,NA,NA,NA,NA
Michael,10,6,6,IN,NA,NA,NA,NA,NA,NA
Rosie,10,6,5,IN,NA,NA,NA,NA,NA,NA
Priya,10,6,7,OUT,NA,NA,NA,NA,NA,NA
Steph,10,6,3,STAR BAKER,NA,NA,NA,NA,NA,NA
Amelia,10,6,NA,NA,NA,NA,NA,NA,NA,NA
Dan,10,6,NA,NA,NA,NA,NA,NA,NA,NA
Helena,10,6,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,6,NA,NA,NA,NA,NA,NA,NA,NA
Michelle,10,6,NA,NA,NA,NA,NA,NA,NA,NA
Phil,10,6,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,7,6,IN,NA,NA,NA,NA,NA,NA
David,10,7,2,IN,NA,NA,NA,NA,NA,NA
Rosie,10,7,1,IN,NA,NA,NA,NA,NA,NA
Steph,10,7,4,IN,NA,NA,NA,NA,NA,NA
Michael,10,7,5,OUT,NA,NA,NA,NA,NA,NA
Henry,10,7,3,STAR BAKER,NA,NA,NA,NA,NA,NA
Amelia,10,7,NA,NA,NA,NA,NA,NA,NA,NA
Dan,10,7,NA,NA,NA,NA,NA,NA,NA,NA
Helena,10,7,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,7,NA,NA,NA,NA,NA,NA,NA,NA
Michelle,10,7,NA,NA,NA,NA,NA,NA,NA,NA
Phil,10,7,NA,NA,NA,NA,NA,NA,NA,NA
Priya,10,7,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,8,3,IN,NA,NA,NA,NA,NA,NA
David,10,8,1,IN,NA,NA,NA,NA,NA,NA
Rosie,10,8,2,IN,NA,NA,NA,NA,NA,NA
Henry,10,8,5,OUT,NA,NA,NA,NA,NA,NA
Steph,10,8,4,STAR BAKER,NA,NA,NA,NA,NA,NA
Amelia,10,8,NA,NA,NA,NA,NA,NA,NA,NA
Dan,10,8,NA,NA,NA,NA,NA,NA,NA,NA
Helena,10,8,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,8,NA,NA,NA,NA,NA,NA,NA,NA
Michael,10,8,NA,NA,NA,NA,NA,NA,NA,NA
Michelle,10,8,NA,NA,NA,NA,NA,NA,NA,NA
Phil,10,8,NA,NA,NA,NA,NA,NA,NA,NA
Priya,10,8,NA,NA,NA,NA,NA,NA,NA,NA
David,10,9,2,IN,NA,NA,NA,NA,NA,NA
Steph,10,9,3,IN,NA,NA,NA,NA,NA,NA
Rosie,10,9,1,OUT,NA,NA,NA,NA,NA,NA
Alice,10,9,4,STAR BAKER,NA,NA,NA,NA,NA,NA
Amelia,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Dan,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Helena,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Henry,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Michael,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Michelle,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Phil,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Priya,10,9,NA,NA,NA,NA,NA,NA,NA,NA
Alice,10,10,2,Runner-up,NA,NA,NA,NA,NA,NA
Steph,10,10,3,Runner-up,NA,NA,NA,NA,NA,NA
David,10,10,1,WINNER,NA,NA,NA,NA,NA,NA
Amelia,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Dan,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Helena,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Henry,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Jamie,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Michael,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Michelle,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Phil,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Priya,10,10,NA,NA,NA,NA,NA,NA,NA,NA
Rosie,10,10,NA,NA,NA,NA,NA,NA,NA,NA
